Loading,SSA,DP,TPV,D_M,SMILES,Boiling Point ,Melting Point,Density,Molecular weight,PE_M,FIE_M,MR_M,EA_M,WF_M,AN_M,BM_M,MP_M,MP_S,Temp,Time,W_cat,P,SV,conver,selec
1,308,4.79,0.5,12.8,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,450,,50,1,14400,45.92,45.92
1,308,4.79,0.5,12.8,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,400,,50,1,14400,63.2,63.2
1,308,4.79,0.5,12.8,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,350,,50,1,14400,54.69,54.69
1,308,4.79,0.5,12.8,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,300,,50,1,14400,27.53,27.53
1,308,4.79,0.5,12.8,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,250,,50,1,14400,20.12,20.12
1,308,4.79,0.5,12.8,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,200,,50,1,14400,9.25,9.25
4,301,5.4,0.52,5.2,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,450,,50,1,14400,90.94,90.9
4,301,5.4,0.52,5.2,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,400,,50,1,14400,90.43,90
4,301,5.4,0.52,5.2,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,350,,50,1,14400,86.46,86.46
4,301,5.4,0.52,5.2,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,300,,50,1,14400,69.5,69.5
4,301,5.4,0.52,5.2,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,250,,50,1,14400,29.87,29.87
4,301,5.4,0.52,5.2,C1CCCCC1,80.7,6.5,0.78,84.16,2.2,8.34,137,0.56,5.12,46,195,1555,2072,200,,50,1,14400,11.9,11.9
1,,,,0.139,C1CCCCC1,80.7,6.5,0.78,84.16,2.28,9,139,2.13,5.65,78,230,1768,2400,350,72,100,1,,31.51,100
1,,,,0.139,C1CCCCC1,80.7,6.5,0.78,84.16,2.28,9,139,2.13,5.65,78,230,1768,2400,300,72,100,1,,19.14,100
1,,,,0.139,C1CCCCC1,80.7,6.5,0.78,84.16,2.28,9,139,2.13,5.65,78,230,1768,2400,250,72,100,1,,7.8,100
1,,,,0.139,C1CCCCC1,80.7,6.5,0.78,84.16,2.28,9,139,2.13,5.65,78,230,1768,2400,200,72,100,1,,3.82,88
